eng,darija
mainly,3l 3omoum
originally,aslan
twice,joj mrrat
everywhere,finmma
obviously,bayna
successfully,bnaja7
suddenly,faj2atan
automatically,otomatikyan
deeply,b3om9
deliberately,3amdan
most,aghlab
both,bjoj
teacher,oustad
student,tlmid
director,moudir
dean,3amid
blackboard,sbbora
chalk,tabachir
physics,fizik
history,tarikh
math,ryadiat
sport,ryada
geography,joghrafia
course,drs
exam,mti7an
book,ktab
notebook,dftar
elementary,btida2i
education,t3lim
school,mdrasa
class,9ism
faculty,lafak
middle school,i3dadi
high school,tanawi
university,jami3a
diploma,diplom
administration,idara
bench,tawila
philosophy,flsafa
subjects,mawad
science,3ilm
language,logha
literature,adab
sciences,3oloum
writing,ktba
algebra,jabr
geometry,hndasa
computing,l7sab
chemistry,chimi
pen,stilo
ruler,mistara
bag,chkara
pencil,9alam
eraser,mim7at
holiday,3otla
culture,ta9afa
session,7issa
page,sf7a
paper,wr9a
research,b7t
question,sou2al
answer,jawab
idea,fikra
count,7sab
length,tol
width,3rd
hight,rtifa3
hight,3lo
topic,modo3
circle,da2ira
letter,7rf
word,klma
phrase,jomla
comma,fasila
experience,tjriba
mass,kotla
volume,7ajm
wrong,khata2
right,sa7i7
scissors,m9s
kindergarten,rawd
specialization,takhssos
discussion,ni9ach
analysis,t7lil
exercise,tmrin
scholarship,min7a
absence,ghyab
presence,7odor
minus,na9is
times,mdroub
divided,m9soum
equation,mo3adala
fraction,kasr
shape,chakl
angle,zawyya
medicine,tibb
nursery school,7adana
higher education,ddirasat l3olya
institute,ma3had
baccalaureate,bac
essay,ma9al
absence,sellan
pray,ssla
fasting,syam
pilgrimage,lhej
charity,zakat
mosque,jam3
jews,lihoud
christians,nsara
faith,imane
unbelievers,koffar
soul,rou7
heaven,jenna
hell,nnar
hell,jahnam
afterlife,lakhra
alcohol,chrab
angel,malak
religion,ddin
ablution,lodo
belief,3ti9ad
satan,chitan
demon,jnn
jesus,3issa
abraham,ibrahim
moses,moussa
caliph,khalifa
church,kanissa
pharaoh,fir3awn
gabriel,jibril
azrael,3zrayl
ghost,chaba7
buddhism,lboudia
david,daoud
noah,nou7
evolution,tatwwor
reward,jaza2
cross,salib
circumcision,thara
circumcision,khtana
companions of the prophet,ssa7aba
theory of islamic law,fi9h
islamic law,chari3a
interpretation of islamic law,ftwa
good,khayr
evil,charr
quran,9or2an
holy,mo9ddas
jerusalem,9ods
spirituality,rou7ania
resurrection,9iama
funeral,janaza
sin,dbn
morning prayer,sob7
noon prayer,dohr
afternoon prayer,l3asr
sunset prayer,lmghrb
evening prayer,l3cha
sect,zawia
bible,injil
christ,masi7
god,allah
prophet,rassoul
muslim,mslm
sunni,sonni
shi ite,chi3i
atheist,mol7id
atheism,il7ad
minaret,sm3a
call to prayer,adan
permitted,7lal
forbidden,7ram
miracle,mo3jiza
prayer rug,zrbia tssla
human,insan
human,bnadm
foot,rjl
hand,yedd
eye,3in
nose,nif
nose,mnaker
mouth,fom
brain,dmagh
liver,kbda
lung,riyya
kidney,klwa
stomach,m3da
bone,3dm
intestine,msarn
heart,9lb
ear,wdn
head,ras
body,jasad
organ,3odw
skin,jld
skull,jmjoma
hair,ch3r
mustache,mostach
beard,l7ya
face,wjh
eyebrow,7ajb
eyelashes,chfar
saliva,dfal
lips,chwarb
tongue,lsan
tooth,snna
neck,3ng
throat,9rjota
shoulder,ktf
chest,sdr
arm,dra3
cheek,7nk
forehead,jbha
eyelashes,rmouch
tonsils,7la9m
armpit,bat
elbow,mrf9
finger,sb3
fingernail,dfr
abdomen,krch
thigh,fkhd
knee,rkba
heel,gdm
back,dhr
rib,dl3a
blood,dm
vein,3r9
muscle,3adala
backbone,3amoud lfi9ari
sight,chchouf
hearing,ssm3
smell,chchmm
taste,ddou9
touch,llms
breathing,tanffous
to burp,tgrr3
to yawn,tfwwh
to snore,chkhr
haircut,7sana
to shave,7ssn
to comb,mcht
tattoo,wchm
mole,khal
me,ana
you,nta
you,nti
him,hoa
her,hia
us,7na
you,ntoma
them,homa
everyone,ayy wahd
anyone,tta wahd
anything,ayyatoha haja
everything,kolchi
this,hada
that,dak
that,hadak
that,hadik
these,hado
when,imta
when,fo9ach
where,fine
when,w9tach
why,3lach
why,kifach
what,ach
what,chno
who,chkon
more,ktr
most,aktar
least,a9al
less,9el
someone,chi 7edd
mine,dyali
his,dyalo
her,dyalha
their,dyalhom
our,dyalna
mine,dyawli
his,dyawlo
her,dyawlha
their,dyawlhom
our,dyawlna
plenty of,3rram
music,mousi9a
painting,rasm
violin,kamanja
oud,3oud
dance,chti7
singing,ghna
poetry,chi3r
art,fenn
theater,msr7
applause,tsfi9
photo,tswira
brush,chita
imagination,khayal
light,ddo
creativity,ibda3
beauty,jamal
magnificence,raw3a
poet,chaa3ir
writer,kaatib
novelist,riwa2i
film director,mokhrij
actor,momttil
author,mo2llif
sculpture,n7t
museum,mt7f
drum,tbl
piano,piano
guitar,guitar
tone,nghma
style,osloub
horizontal,ofo9i
vertical,3amoudi
candle,chm3a
harmony,nsijam
vibration,tze3zi3
rhythm,i9a3
impression,t2tir
supervising,t2tir
design,tsmim
expression,t3bir
technique,ti9nia
repetition,tikrar
repetition,m3awda
symmetry,tamatoul
dimension,bou3d
remote,bo3d
distance,masafa
bridge,gntra
line,khtt
square,morbba3
circle,dwwara
triangle,motllat
rectangle,mostatil
point,n9ta
voice,sout
beautiful,zwin
beauty,zin
screen,chacha
comedy,koumidia
historical,taarikhi
instrument,adat
exhibition,m3rid
festival,mihrajan
makeup,makiaj
hero,batal
popular,ch3bi
novel,riwaya
series,moslsal
channel,9anat
advertisement,ichhar
singer,moghnni
band,fr9a
choir,jou9
tape,kasita
qanun,9anoun
family,3a2ila
my daughter,bnti
my son,wldi
father,lwalid
mother,lwalida
dad,baba
mom,mama
my brother,khouya
my sister,khti
my uncle,3mi
my aunt,3mti
my uncle,khali
my aunt,khalti
my cousin,kouzan
my cousin,wld 3mi
my cousin,wld 3mti
my cousin,wld khali
my cousin,wld khalti
my cousin,bnt 3mi
my cousin,bnt 3mti
my cousin,bnt khali
my cousin,bnt khalti
wife,zawja
wife,lmra
my wife,zawjati
husband,zawj
husband,rrajl
married,mjwwj
married,mjwwja
single,3zri
children,ddrari
brothers,khout
sisters,khwatat
parents,walidin
uncles,khwal
uncles,3mam
grandchild,7fid
grandfather,jdd
grandmother,jdda
family-in-law,nsab
planet,kawkab
continent,9aarra
africa,ifri9ia
europe,europa
country,blad
country,dawla
morocco,mghrib
saudi arabia,ssa3oudia
qatar,9atar
emirates,imarat
algeria,dzair
algeria,jaza2ir
france,fransa
spain,sbania
portugal,brt9iz
portugal,bortoghal
germany,almania
switzerland,swisra
japan,japoun
united states,mirikan
united kingdom,ngliz
belgium,bljika
italy,talyan
egypt,misr
tunisia,touns
mauritania,moritania
palestine,filistin
china,chinwa
china,ssin
greece,younan
city,mdina
capital,3asima
fez,fas
salé,sla
meknes,mknas
oujda,oujda
kenitra,9nitra
agadir,agadir
tetouan,tetouan
temara,tmara
safi,asfi
mohammedia,mo7mmadia
khouribga,khribga
casablanca,kaza
casablanca,darbida
tangier,tanja
marrakech,mrrakch
rabat,rbat
el jadida,jdida
beni mellal,bnimllal
ait melloul,ait melloul
nador,nnador
dar bouazza,dar bo3zza
taza,taza
settat,settat
berrechid,berrchid
khemisset,khmisat
inezgane,inzggan
ksar el kabir,9sr lkhbir
larache,l3raich
guelmim,glmim
khenifra,khnifra
berkane,brkan
taourirt,taourirt
bouskoura,boskkora
fqih ben saleh,lf9ih bn sal7
dcheira,dchira
oued zem,wadzm
kalaa sraghna,9l3a tsraghna
sidi slimane,sidi sliman
errachidia,rrachidia
guercif,grsif
oulad teima,wlad tayma
ben guerir,ben grir
tifelt,tiflt
lqliaa,l9li3a
taroudant,taroudant
sefrou,sfro
essaouira,swira
fnideq,fnide9
sidi kacem,sidi 9assem
tiznit,tiznit
tantan,tantan
ouarzazate,warzazat
souk el arbaa,sou9larb3a
youssoufia,youssoufia
lahraouyine,lhrawiyin
martil,martil
ain harrouda,3in 7rrouda
skhirat,skhirat
ouazzane,wazzan
benslimane,bnsliman
al houceima,l7ouceima
beni ansar,bni nsar
mdiq,mdye9
sidi bennour,sidi bennour
midelt,midelt
azrou,azro
place,blasa
jemaa el-fnaa square,jam3lfna
map,kharita
world,l3alam
hospital,sbitar
post office,bosta
abroad,lkharij
airport,matar
space,fada2
mars,mrrikh
moon,9amar
address,3onwan
back,llor
front,gddam
bakery,mkhbaza
below,t7t
borders,7odoud
pharmacy,frmasian
farm,firma
east,chr9
west,ghrb
north,chamal
south,janoub
region,mnta9a
station,ma7tta
shop,7anout
street,chari3
road,tri9
highway,lotorot
neighborhood,sikteur
square,saa7a
coffee shop,9hwa
tower,borj
library,mktaba
hotel,otil
clinic,klinik
swimming pool,pisin
sidewalk,tritwar
direction,ttijah
right,limn
left,lisr
area,misa7a
embassy,sifara
barber,7jjam
barber,7lla9
butcher,gzzar
doctor,tbib
nurse,frmlia
director,modir
artist,fnnan
electrician,trisyan
engineer,mohndis
peasant,flla7
journalist,sa7afi
judge,9adi
lawyer,mo7ami
mechanic,mikanisyan
prosecutor,wakil
cop,bolisi
gendarme,jadarmi
painter,rssam
photographer,moswwir
waiter,srbay
waitress,srbaya
tailor,khyyat
ambassador,safir
advisor,mostachar
plumber,plombi
entrepreneur,mo9awil
employee,mowddaf
assistant,sikritira
greengrocer,khddar
carpenter,njjar
craftsperson,7rayfi
painter,sbbagh
sculptor,n77at
poultryman,mol ddjaj
fishmonger,mol l7out
taxi driver,mol taxi
driver,chifour
shoemaker,kherraz
eat,kla
drink,chrb
enter,dkhel
go out,khrj
understand,fhem
explain,chr7
learn,9ra
teach,9rra
hear,sm3
see,chaf
smell,chm
taste,da9
touch,9as
go,mcha
come,ja
ascend,tl3
go down,nzl
swim,3am
drown,ghr9
wear,lbs
take off,slt
buy,chra
sell,ba3
bargain,ttawa
write,ktb
clean,ms7
hit,drab
salute,tsalm
fatigue,3ya
exhaust,tskhskh
laugh,d7k
anger,ghdb
bring,jab
was,kan
do,dar
say,gal
have,3ndo
get,chedd
think,fkkr
want,ba
find,l9a
give,3ta
work,khdm
call,3yet
need,khass
feel,7ess
become,wlla
put,7tt
mean,3na
begin,bda
should,khss
like,3jb
tell,khbr
help,3awn
help,3t9
prepare,wjjd
believe,2amn
try,7awl
try,jrrb
ask,swwl
remember,tfkkr
show,byyen
play,l3b
run,jra
run,jrra
finish,sala
cut,9tt3
talk,hdr
thank,chker
change,bddel
continue,kmmel
suppose,ftard
wish,tmnna
follow,tb3
accept,9bl
reject,rfd
happen,w93
sit down,gls
win,rb7
add,zad
learn,t3llm
wait,tsnna
send,sift
open,7ell
build,bna
choose,khtar
reach,wsl
decide,9rrer
enjoy,ncht
watch,tfrrj
lose,khsr
walk,tmchcha
raise,kbbr
imagine,tkhyyl
cause,sbbeb
break,hrrs
listen,sme3
grow,kbr
die,mat
die,twffa
visit,zar
encourage,chjje3
protect,7ama
spread,nchr
kill,9tl
drive,sag
lie,kdb
argue,t9aj7
remove,7yyed
fight,ddabz
fill,3mmr
travel,safr
attend,7dr
hurt,9sse7
suffer,3ana
miss,zgl
discover,lga
express,3bbr
concentrate,rkkz
throw,la7
prepare,sawb
push,df3
press,wrrk
ring,sona
collect,jm3
escape,hrb
welcome,r77b
rely,3wwl
trust,ta9
plan,khttet
reveal,frch
confirm,2kkd
hate,krh
marry,tjwj
split,9sm
adopt,tbnna
ignore,tjahl
define,3rrf
introduce,9ddm
exercise,ttrina
demonstrate,brhn
persuade,9n3
guess,9ll3
vote,swwt
deny,nkr
hide,khbba
succeed,nj7
demand,tlb
recognize,3tarf
count,7sb
belong,ntama
doubt,chekk
sing,ghnna
intent,nwa
justify,brrer
defend,daf3
dare,z3m
rest,tsara7
judge,7km
participate,chark
wash,ghsl
observe,la7d
employ,khddm
insist,l77
jump,tla7
cook,tyyb
cry,bka
sleep,n3s
wake up,fa9
withdraw,nsa7b
resolve,7ll
imply,stalzem
borrow,tsllf
risk,khatr
permit,sm7
forgive,sam7
propose,9tar7
celebrate,7tafl
waste,dyy3
disappear,ghbr
predict,tw993
complain,ngr
catch,9bt
catch,gbd
get up,nad
pass,daz
stop,7bes
note,9yyd
used to,wllf
mix,khllt
mislead,gyyd
burn,7rg
burn,7r9
exploit,staghl
smoke,kma
warn,7ddr
kiss,baas
announce,3ln
evaluate,khtabr
breathe,tnffs
exceed,fat
approve,saad9
occupy,7tell
free,7arrar
smile,btasm
dig,7fr
respect,7tarm
threaten,hdded
cancel,lgha
store,khzn
organize,nddm
shine,nwwr
swear,7lf
dream,7lm
absorb,srt
block,bloka
anticipate,stab9
accuse,ttahm
shout,ghwwt
affect,2ttr
arrange,rttb
arrest,3ta9l
bark,nb7
betray,khan
bet,t7att
differ,khtalf
keep,7tafd
fly,tar
appear,ban
pull,jrr
lift,hzz
return,rj3
fall,ta7
know,3rf
forget,nsa
describe,wsf
translate,trjm
promise,w3ed
search,9llb
love,7bb
live,3ach
live,skn
pay,khlls
close,sdd
stand up,w9f
use,stkhdm
receive,stalm
fail,fchl
insult,sbb
complain,chka
expose,fd7
apologize,3tadr
hug,3nng
regret,ndm
get used,t3wwd
sneeze,3tas
cough,k7ob
postpone,2ejjel
cooperate,t3awn
exchange,tbadl
boycott,9aat3
volunteer,ttwwe3
dupe,9oulb
avoid,tjnnb
neglect,hml
meet,tla9a
spy,tjsses
take revenge,nta9m
bury,dfn
defeat,ghlb
would,bgha
can,9der
can,gdd
must,khsso
take,khda
let,khlla
include,tdmmen
move,t7rrek
turn,dar
consider,3tabr
hope,tmenna
produce,ntej
stay,b9a
hold,chdd
expect,to99e3
ensure,dmen
carry,hezz
offer,3red
support,d3em
speak,hder
speak,dwa
lead,9aad
stand,w9ef
stand,wgef
develop,twwer
sit,gles
create,gadd
agree,ttaf9
apply,tbbe9
form,kowwen
voice,3bber
spend,dyye3
join,lta79
reduce,n99es
save,n9ed
require,ttelleb
achieve,799e9
deal,t3amel
face,twajh
cover,ghtta
tend,maal
draw,rsem
act,t7errek
pick,3zel
cost,kllef
cost,swa
prove,brhen
occur,w9e3
discuss,tna9ch
maintain,gabl
exist,kayn
seek,9sed
check,9lleb
serve,nfe3
share,9sem
share,partaja
establish,nche2
establish,2esses
control,t7kkem
answer,jawb
identify,7edded
care,3tana
enable,mkken
claim,taalb
obtain,kseb
represent,mttel
contain,tdemmen
beat,ghleb
worry,tchten
bear,t7mmel
shut,sedd
wonder,tsa2el
fit,naaseb
regard,t3elle9
place,7ett
involve,chmel
contact,ttasel
indicate,achaar
operate,khdem
manage,tserref
cope,t2e9lem
reflect,3kes
gain,rbe7
examine,f7es
prefer,fddel
respond,redd
depend,3tamd
survive,nja
complete,kemmel
rise,rtaf3
present,9ddem
promote,rowwej
promote,chejje3
perform,2edda
extend,medded
vary,khtalef
benefit,fad
treat,3aalj
hang,3elle9
drop,tyye7
report,bellegh
cast,sbb
test,khtaber
secure,2emmen
last,towwel
match,waaf9
assess,9dder
contribute,saahem
supply,medd
state,3len
relate,rtabet
overcome,tghelleb
rid,tkhelles
attempt,7awel
handle,tkellef
attract,jdeb
assist,saa3d
assist,3awen
influence,2etter
recall,fkker
sign,sina
fear,khaf
stick,lse9
settle,swwa
settle,rigl
compare,9aaren
account,7seb
investigate,7e99e9
clear,n99a
record,sjjel
record,chjjel
explore,ktachf
blame,laam
cross,3ber
realize,3a9
focus,rkkez
deliver,wssel
proceed,chre3
bother,z3ej
bother,brzet
refuse,rfed
force,fred
reckon,3ta9ed
intend,3zem
advise,nse7
acquire,ktaseb
recover,strje3
distinguish,tmiyyez
suspect,chtabeh
finance,mowwel
destroy,hdem
pursue,tbe3
satisfy,rda
compete,tnafs
resist,9aawem
suit,laa2em
address,khaateb
appeal,naachd
release,tle9
sort,frez
sort,rtteb
recommend,wssa
order,tleb
order,2amer
transfer,n9el
attack,hjem
expand,twesse3
roll,tkerkeb
burst,nfajer
undertake,t3ehhed
remind,dkker
remind,fekker
review,raaj3
approach,nhej
restore,rejje3
issue,sder
ride,sag
constitute,chkkel
switch,gleb
train,derreb
invest,stetmer
step,khta
limit,7edd
illustrate,wedde7
own,mlek
challenge,t7edda
communicate,7aawer
climb,tselle9
separate,fsel
preserve,7aafd
implement,nffed
shift,7wwel
acknowledge,a9arr
conclude,stentej
shoot,tira
comply,mtatel
enhance,7essen
monitor,ra9b
charge,charja
research,b7et
accommodate,stow3eb
dance,chte7
pray,slla
telephone,dowwer
score,marka
slip,zle9
commit,rtakb
detect,kchef
exclude,steb3ed
excuse,3der
interpret,fsser
publish,ncher
link,laa9a
negotiate,tfawd
analyze,7ellel
name,smma
stretch,mtedd
upset,t9elle9
qualify,2ehhel
damage,khsser
paint,sbegh
grant,mne7
lend,sellef
react,tfa3l
deserve,sta7e99
deserve,stahel
head,tre22es
direct,wjjeh
land,hbet
sustain,tkebbed
consist,tkowwen
blow,3sef
guide,rched
convince,9ne3
practice,maars
strengthen,9wwa
knock,do99
abandon,tkhella
reply,jaweb
shake,7errek
fix,sle7
pretend,tdaaher
consult,chawer
engage,nkharet
rule,7kem
thrust,dfe3
incorporate,jessed
restrict,7ser
eliminate,zowwel
convert,7owwel
retire,t9a3d
adjust,dbet
adjust,3ddel
ease,shhel
pour,kobb
pour,sebb
knit,nsej
trace,trassa
register,sejjel
stimulate,7ffez
print,tbe3
print,imprima
stress,twetter
appoint,3yyen
interfere,tdkhkhel
object,3tard
facilitate,ysser
lack,7taj
tie,3god
quote,9tabs
dominate,syter
pop,frg3
please,3jeb
design,semmem
yield,tlle3
resign,sta9al
spell,thejja
spare,khsses
kick,dreb
kick,rkel
list,3dded
dress,lbes
declare,diklara
assure,2ekked
derive,stamdd
clarify,wdde7
copy,nsekh
capture,9bet
reinforce,3zzez
quit,ghaader
accompany,raaf9
pack,jme3
correct,s77e7
sail,ab7ar
compensate,3owwed
steal,sre9
steal,chfer
undermine,9owwed
oppose,3aared
hurry,zreb
sue,9aadaa
bid,miza
light,dowwa
slow,tbat2
concern,hemm
conform,taabe9
attach,rbet
rush,zrreb
sink,ghre9
grab,ntaz3
calm,kalma
protest,7tejj
balance,waazen
install,tbbet
advance,towwer
fire,tred
flow,tdffe9
drag,jerr
correspond,ttaab9
admire,tt3jeb
relieve,khffef
integrate,ndamj
disagree,mattaf9ch
update,7iyyen
modify,ghiyyer
command,amer
extract,stkhrej
counter,3aard
resume,ste2nef
swing,tze3lel
render,sllem
confront,waajh
ban,mne3
wipe,mse7
double,doubl
comprise,chtamel
witness,chhed
plant,ghres
assert,jzem
squeeze,3ser
squeeze,bjegh
harm,derr
harm,2aada
struggle,3aana
hire,khddem
co-operate,t3awen
wander,sre7
emphasize,chdded
weigh,wzen
coincide,tzaamn
bend,tna
regulate,nddem
entertain,rffeh
forecast,twe99e3
export,sdder
urge,le77
warm,skhkhen
warm,dffa
tolerate,sme7
tolerate,tmmer
undergo,khde3
impress,bher
decline,nkhafd
rub,frek
cater,wkkel
distribute,wzze3
repay,khlles
regain,rjje3
regain,sta3aad
minimize,9ellel
halt,w99ef
bite,3edd
progress,t9ddem
devote,kerres
provoke,stafzz
reassure,tem2en
contemplate,t2emmel
alert,7dder
interact,tfa3el
devise,btaker
embrace,3aan9
comfort,3zza
seize,7jez
melt,dowweb
lean,ttekka
beware,7tars
resemble,tchabh
wed,tjowwej
crack,hrres
suppress,9me3
surprise,faje2
hesitate,tredded
load,ch7en
swallow,sret
float,tfaa
manipulate,t7ekkem
deter,rde3
administer,adaar
murder,9tel
persist,taabr
greet,7eyya
tear,dmme3
hunt,taared
spoil,fsed
line,stter
bless,baark
penetrate,khtar9
multiply,daa3ef
merge,dmej
drain,jeff
drain,stenzef
suffice,kfa
fish,syyed
shop,t9dda
race,tsab9
honor,chrref
freeze,jemmed
cure,daawa
cure,3alj
swap,tbadel
endure,t7emmel
chase,taard
consume,stehlek
insert,khcha
await,tsenna
drift,njarf
surrender,steslem
wind,ziyyer
contract,9elles
differentiate,miyyez
reconcile,saal7
project,tsowwer
co-ordinate,nsse9
damn,l3en
bake,teyyeb
fold,twa
concede,tnazl
renew,jdded
formulate,saagh
confuse,khellet
steer,wjjeh
indulge,tsahel
decrease,khffed
reserve,rezerva
host,st9bel
evolve,ttowwer
foster,r3a
discourage,3ggez
curb,towwe9
supervise,chref
fade,tlacha
condemn,adaan
punish,3a9b
outline,st3red
prevail,saad
leap,n99ez
wrap,lwa
compromise,tfahem
collapse,nhaar
collapse,raab
safeguard,7ma
scream,ghowwet
date,twa3d
dislike,kreh
dictate,mla
unite,w77ed
import,stowred
flourish,zdaher
criticize,nta9ed
boil,tiyyeb
boil,ghla
flee,hreb
praise,mde7
park,blasa
interview,9aabel
tighten,chedded
color,lowwen
venture,ghaamer
speculate,khemmen
speculate,9edder
depart,ghader
interrupt,9aate3
disguise,mowweh
elect,ntakheb
restrain,kbe7
thrive,nma
echo,3awed
divert,n7arf
fry,9la
dissolve,dab
assemble,jmme3
ruin,khrreb
accelerate,srre3
envisage,tsower
congratulate,henne2
retrieve,staredd
suspend,wggef
experiment,jerreb
frighten,khle3
inspire,alham
heal,chaafa
scratch,khdech
entail,stelzem
execute,3dem
consolidate,wtted
warrant,berrer
weaken,d33ef
march,tmechcha
widen,wsse3
chat,drdech
board,rkeb
invent,khtar3
manufacture,sne3
suck,mss
picture,sowwer
crash,stadem
crash,frchekh
assign,3iyyen
inquire,stfser
decorate,zyyen
profit,staghell
inherit,wret
disrupt,khrbe9
choke,khne9
plead,daaf3
dip,ghmmes
subscribe,chtark
educate,3llem
divorce,tlle9
spin,ghzel
obscure,chowwech
creep,tsellel
twist,7rref
blend,mzej
attribute,nseb
dwell,sken
spill,tserreb
comprehend,fhem
soften,rtteb
wave,chiyyer
stock,stoka
position,wde3
adhere,nkhart
cling,tchbbet
summon,sted3a
pause,wgf
empty,khwa
sound,tsme3
grade,n99et
revert,rje3
value,9iyyem
award,jaaza
strive,kaf7
notify,bllegh
turn off,tfa
sit down,ryye7
cheat,ghech
peel,9chcher
air,hawa2
sea,b7er
earth,ard
river,wad
tree,chjra
ship,bato
pollution,talwwot
water,ma2
ice,glas
snow,tlj
cloud,dbab
forest,ghaba
parc,jrda
sunrise,choro9
sunset,ghorob
sun,chmch
sky,sma
mountain,jbl
rain,chta
thunder,rr3da
cold,lberd
wind,ri7
heat,shd
extreme heat,ti9i9t
winter,chtwa
summer,ssif
autumn,lkhrif
spring,rrbi3
climate,ljow
earthquake,zlal
volcano,borkan
flood,fayadan
weather,t9s
foggy,mdbbeb
hot,skhoun
sunny,mchmmch
windy,m3j3j
wood,khcheb
iron,7did
glass,jaj
aluminum,aliminiom
copper,n7as
stone,7jr
wool,sofa
cotton,9ten
gold,dhb
nylon,nnilo
sand,rmla
silver,fdda
fire,3afia
star,njma
wave,mouja
wild,khla
edge,7afa
lake,bo7ayra
soil,trab
nature,tabi3a
desert,s7ra
waterfall,chllal
cave,ghar
oasis,wa7a
ash,rmad
mud,ghis
humidity,rotouba
hurricane,i3sar
universe,kawn
coffee,9ahwa
chair,korsi
table,tabla
glass,kas
water,ma
air,hwa
bottle,9r3a
room,bit
car,tomobil
motorcycle,motor
thief,chffar
grocery seller,mol7anout
grocery seller,molpisri
building,3imara
apartment,partma
sleep,n3as
boy,wld
girl,bnt
bicycle,pikala
bus,tobis
alley,drb
neighborhood,7ouma
stairs,drouj
date palm,nkhla
language,lougha
proud,fakhour
today,lyom
yesterday,lbar7
tomorrow,ghdda
bed,namousia
heat,sehd
habit,3aada
elections,ntikhabat
parliament,brlaman
king,malik
minister,wzir
deputy,brlamani
discovery,ktichaf
something,chi haja
company,charika
enterprise,mo9awala
contribute,chaark
friend,sa7b
best friend,3chir
my friend,sa7bi
my best friend,3chiri
market,sou9
market,marchi
i know,frassi
you know,frask
of,ta3
of,dyal
payment,khlas
day,nhar
war,7arb
prison,7bs
prisoner,7bbas
crime,jarima
gun,frdi
rifle,mk7la
gun bullets,9rtas
knife,mous
spoon,m3il9a
spoon,3ach9a
fork,frchita
desk,biro
window,chrjm
neighbor,jar
neighbors,jiran
wake up,fya9
noise,sda3
breathing,tanffos
swimming,3oman
movement,7araka
stop,wo9ouf
shower,t7m7ima
bathroom,7mmam
bedroom,bitn3as
kitchen,kouzina
toilet,twalit
sweater,trikko
glasses,ndadr
operation,3amalia
operations,3amaliat
striolated bunting,tibibt
journalism,sa7afa
reference,msdar
source,mnb3
hate,3adawa
violence,3onf
kingdom,mamlaka
republic,jomhoria
public,jmhor
citizen,mowatin
a walk,tsrkila
independent,mosta9ill
army,3skr
arabic,3arabia
well,mzian
conciliation,mosala7a
rejection,rafd
expertise,khibra
committee,ljna
rights,7o9o9
right,7e99
power,9owwa
plate,tbsil
