,english_translation,label
581,,0
582,my god and ,1
583,laughing ,1
584,,1
585,day god god in order to ,1
586,compact ,0
587,,1
588,,1
589,,1
590,,1
591,harm below since since was ,0
592,,1
593,,1
594,laughing ,1
595,,1
596,sweet ,0
597,,1
598,after water ,1
599,income ,0
600,laughing ,1
601,,1
602,since ,1
603,since since vein ,0
604,,1
605,since ,1
606,water since day ,0
607,was news ,1
608,and breath god ,1
609,swim good ,1
610,water dad better ,0
611,horse what beside and since ,1
612,god me cat thousand cat ,1
613,god thanks since ,1
614,,1
615,,1
616,since ,1
617,after after ,0
618,god my god god my god ,1
619,since ,1
620,and ,1
621,,1
622,laughing god god ,1
623,less ,1
624,in order to tunisia ,1
625,and and and and and and and ,1
626,since ,0
627,,1
628,,1
629,mountain since water ,0
630,god my god god since god my god since still god ,1
631,,0
632,proverb beside why cat ,0
633,,1
634,and and cat ,0
635,,1
636,since at at ,0
637,,1
638,god ,1
639,go down since ensure ,1
640,sense ,0
641,god my god and god ,1
642,since water ,1
643,god ,0
644,west judge tunisia ,1
645,,1
646,,1
647,,1
648,,1
649,,1
650,,0
651,god ,1
652,,1
653,,1
654,,1
655,since ,1
656,since ,1
657,laughing ,1
658,to and since and ,0
659,,1
660,,0
661,water beside ,0
662,and and and ,0
663,since ,1
664,,0
665,army since accept ,0
666,me ,1
667,,1
668,,1
669,this first name his at ,1
670,since since ,0
671,,1
672,,1
673,why ,0
674,,1
675,,1
676,,1
677,god and my god ,0
678,water since ,0
679,since day since age ,1
680,,1
681,god water since me since god ,1
682,cat ,1
683,,1
684,since since ,1
685,god swim good ,1
686,,1
687,,0
688,present ,1
689,god my god ,1
690,since since income after ,0
691,,1
692,water ,1
693,god my god and ,1
694,,1
695,whole hear accept die hand since ,0
696,,1
697,breath ,1
698,and since since ,0
699,god security ,1
700,and and calf and girl ,1
701,,1
702,thanks and and act thanks ,1
703,since ,1
704,,0
705,since ,0
706,camel ,1
707,was office since ,1
708,,0
709,smoke ,0
710,swim and ,1
711,since since ,0
712,laughing ,0
713,,1
714,else since since ,0
715,since ,1
716,water ,1
717,and ,1
718,,1
719,god god my god and ,1
720,my god ,0
721,cat cat me cat cat cat people people here ,0
722,swim good thousand water god my god and ,1
723,,0
724,this become by ,0
725,since ,0
726,thanks ,1
727,,1
728,wild cat water ,0
729,god god ,0
730,,1
731,since ,1
732,was and ,1
733,,1
734,since else ,1
735,,1
736,,0
737,cat ,1
738,,1
739,accept ,0
740,,1
741,,1
742,,0
743,since hope harm ,1
744,closed ,1
745,tell ,1
746,,1
747,god ,1
748,,1
749,my god god ,1
750,,1
751,,1
752,,1
753,,1
754,my god god ,1
755,,1
756,,0
757,,1
758,god god my god and ,1
759,,1
760,in order to ,0
761,since lunch exchange water ,0
762,react ,1
763,,1
764,blood centre thanks ,1
765,,1
766,god my god ,0
767,water ,1
768,god water ,0
769,water water ,1
770,,1
771,after bite turnip ,0
772,since and lose ,1
773,after month since water since ,0
774,,1
775,age since ,1
776,,1
777,cat more at harm ,0
778,my god me water ,1
779,,1
780,,1
781,,1
782,property ,1
783,god god my god ,1
784,,1
785,,1
786,my brother my god god ,1
787,,1
788,god my god ,1
789,,1
790,,1
791,cold ,1
792,and ,1
793,and and ,1
794,,1
795,,1
796,,1
797,,1
798,,1
799,,0
800,cat dates double ,0
801,nail else laughing ,1
802,,1
803,,1
804,,1
805,factory ,1
806,accept ,1
807,mouth ,1
808,,1
809,,1
810,since water kiss ,1
811,,1
812,,1
813,swim stone million since thousand ,1
814,,1
815,thousand ,1
816,god ,1
817,since water ,0
818,cat less since after god ,1
819,,1
820,el jadida ,1
821,,1
822,may ,1
823,,1
824,my god what water was my god accept water creation my god water girl in order to ,1
825,me water god god ,1
826,,0
827,,1
828,,1
829,since since ,1
830,since and ,1
831,harm assist ,1
832,,1
833,,1
834,,1
835,and harm and ,0
836,since and thanks ,1
837,god swim good ,1
838,may ,1
839,water tunisia ,1
840,since ,1
841,,0
842,and day ,0
843,god my god god ,1
844,less ,0
845,suspicious ,0
846,water me ,1
847,,0
848,,1
849,,1
850,water ,1
851,count ,0
852,was since since ,0
853,,1
854,after since since since since after god ,0
855,,1
856,and else ,0
857,,1
858,,1
859,beside ,1
860,,1
861,god since ,1
862,times ,0
863,since ,1
864,,1
865,world me cop and and ,1
866,since project million ,0
867,and me ,1
868,million since and since water and and ,0
869,after since ,0
870,laughing this ,1
871,beside ,0
872,and ,1
873,since lunch ,0
874,impose ,1
875,,1
876,since ,1
877,and god security ,0
878,,1
879,after ,0
880,since centre bite ,0
881,,1
882,beside water ,1
883,me beside water ,1
884,since factory since lunch after reject qanun ,0
885,since since ,0
886,god water since die since ,0
887,soul role ,1
888,,1
889,since ,0
890,,1
891,after ,1
892,,1
893,god ,1
894,since anger ,0
895,god ,1
896,,1
897,since ,1
898,me ,1
899,and ,1
900,day bite ,0
901,since since ,1
902,,1
903,,1
904,since ,1
905,,1
906,,0
907,god my god ,1
908,boil ,1
909,since ,1
910,bite since else after bite ,0
911,project ,0
912,,1
913,since since accept ,0
914,beside after ,1
915,,1
916,,1
917,,0
918,tunisia and ,1
919,,1
920,else ,1
921,since beside since repression lie ,0
922,,1
923,here ,0
924,,1
925,me since and god and since god and my god and and god my god ,1
926,,1
927,,1
928,stay ,1
929,,1
930,god god ,1
931,,1
932,blood god sense ,1
933,day ,1
934,,1
935,laughing ,1
936,was ,1
937,,1
938,god my god ,1
939,,0
940,me ,1
941,,1
942,cat since and ,0
943,,1
944,me risk people ,1
945,since of ,1
946,,1
947,god kill and and and since and and destroy and ,0
948,,1
949,,1
950,my god and ,1
951,,1
952,me successive ,1
953,and ,1
954,,1
955,me laughing laughing ,1
956,here ,1
957,since and exist and exist and and ,0
958,,1
959,and ,1
960,,1
961,,0
962,since after ,1
963,since since since ,0
964,thousand ,1
965,since since and and and count and ,0
966,beside bite since ,0
967,water god and cat deal cat and news cat ,0
968,,1
969,since ,1
970,harm this ,0
971,better since ,1
972,and ,1
973,,1
974,since and impose and and and and since and since and cat ,0
975,and outside ,0
976,,1
977,god ,1
978,and exist ,1
979,following cat of ,0
980,act and me ,1
981,water was ,0
982,,1
983,,1
984,,0
985,,1
986,,1
987,,1
988,exceed and ,1
989,me and succeed water owner ,1
990,and was harm and and and since ,0
991,,1
992,,0
993,and ,0
994,and ,1
995,support ,1
996,,1
997,beside ,1
998,since nearly ,1
999,since ,0
1000,since here ensure laughing ,1
1001,thanks ,1
1002,beside since ,0
1003,,0
1004,a lot since and bread my god ,1
1005,and water since beside ,1
1006,my god beside cat ,1
1007,me ,1
1008,breath ,1
1009,god god ,1
1010,,1
1011,bite since ,0
1012,beside and since million water bring since ,0
1013,,0
1014,below ,0
1015,,1
1016,,0
1017,after ,1
1018,and god ,1
1019,more god ,0
1020,water ,1
1021,news cat outside and and and and ,0
1022,after and and ,0
1023,since ,1
1024,and since else ,1
1025,since and and since and prince and ,0
1026,owner ,0
1027,and rotten and and and responsible ,0
1028,laughing ,1
1029,and since ,0
1030,cat and and and ,0
1031,harm cat ,1
1032,beside ,1
1033,god beside and ,0
1034,cat me breath laughing ,0
1035,,1
1036,dog this here ,0
1037,after laughing accept laughing ,1
1038,,1
1039,,1
1040,,0
1041,thanks ,1
1042,and and and since and water else god ,0
1043,,1
1044,mean ,1
1045,since more water since cat ,0
1046,sense cat since was ,0
1047,,1
1048,since since accept and and and and beside and god and and less count ,1
1049,and ,1
1050,and ,1
1051,my god ,1
1052,beside ,1
1053,more of these cat human ,0
1054,and and beside ,0
1055,,1
1056,was day ,0
1057,,1
1058,god ,1
1059,after ,0
1060,and and and and ,1
1061,martyr since ,0
1062,laughing ,1
1063,,0
1064,,1
1065,day accept ,0
1066,and and and escape better ,0
1067,since water and less ,0
1068,god and god heart and support and ,0
1069,laughing ,1
1070,water and and cat and and and and and and and and ,0
1071,here ,1
1072,since ,0
1073,god and cold and ,1
1074,,1
1075,cat me since ,1
1076,and was since add cat breath ,1
1077,a lot ,0
1078,god ,0
1079,blood blood since ,0
1080,stone and and and ,0
1081,and still since else and and beside sell ,0
1082,,0
1083,water and since ,1
1084,thanks swim and good and ,1
1085,security ,1
1086,security and ,0
1087,since ,1
1088,laughing ,1
1089,,1
1090,me me ,1
1091,and and and and and and accept ,1
1092,,1
1093,god ,1
1094,people since was ,1
1095,was was was push ,0
1096,us a lot and ,0
1097,sky ,1
1098,,1
1099,breath day ,0
1100,and ,0
1101,project ,0
1102,,1
1103,since and ,1
1104,,1
1105,cat and and and cat water ,1
1106,and me and and follow ,0
1107,,1
1108,my god god ,1
1109,,1
1110,,1
1111,,0
1112,swim good foot and ,1
1113,,1
1114,,1
1115,,0
1116,and cat and ,0
1117,god ,1
1118,and cat and apparent beside since ,0
1119,water and and god water god and water and ,0
1120,and water can ,0
1121,,0
1122,this since ,0
1123,beside water less and since breath ,0
1124,since ,1
1125,laughing ,1
1126,push ,1
1127,since ,1
1128,and ,0
1129,,1
1130,since ,1
1131,,1
1132,and since and and after ,0
1133,god laughing arm ,0
1134,and and sunday and since and and was ,0
1135,,1
1136,god since guilt ,1
1137,,1
1138,and since ,1
1139,and and and father cat and cat ,0
1140,cloud laughing ,1
1141,,1
1142,since since hate ,1
1143,,1
1144,apparent market ,1
1145,water water god god and ,1
1146,beside water since and and and water and and beside since ,0
1147,since nearly and and and ,0
1148,water below ,0
1149,,1
1150,water since acceptable water less and here thousand and water ,0
1151,,1
1152,god ,0
1153,me laughing ,1
1154,age ,0
1155,god and prince ,0
1156,and bone since and water and since ,0
1157,else and proverb since and ,1
1158,and beside and water ,0
1159,disease god ,1
1160,god water water ,0
1161,here laughing ,1
1162,less since since ,1
1163,water ,1
1164,my god ,1
1165,and water and harm harm people and and and water water ,0
1166,me since news beside and water and ,0
1167,laughing god since ,0
1168,since ,1
1169,come back and die since god god soil god god ,0
1170,,0
1171,a lot and me ,0
1172,,1
1173,here ,1
1174,water ,1
1175,accept laughing ,1
1176,and swim and good ,1
1177,and security ,0
1178,and and and and and and and ,0
1179,was this father was since role laughing ,0
1180,,1
1181,us and and and and ,0
1182,,1
1183,,1
1184,and ,1
1185,,1
1186,and ,1
1187,god and ,1
1188,,1
1189,harm and harm ,1
1190,and ,1
1191,god ,1
1192,since since ,1
1193,,1
1194,,1
1195,my god ,1
1196,cat laughing ,1
1197,,1
1198,people water and ,0
1199,,1
1200,,1
1201,man laughing ,1
1202,enter below a lot ,0
1203,since and and since water and and since and since ,0
1204,me and beside ,1
1205,judge and ,0
1206,my god and ,1
1207,god ,1
1208,god ,1
1209,thanks ,1
1210,,0
1211,god god ,1
1212,and and and cat following famous ,0
1213,,1
1214,since less essay less water beside god ,0
1215,and ,0
1216,and me and and me ,1
1217,since and water ,1
1218,prince and since and and ,0
1219,god ,0
1220,water ,1
1221,since ,1
1222,these ,1
1223,act ,1
1224,cat ,1
1225,,1
1226,,1
1227,since appear since accept and still ,0
1228,me ,1
1229,,0
1230,here appear ,1
1231,and since well-known and and earth was foot and cat ,0
1232,my god ,1
1233,me water of was ,1
1234,god ,1
1235,cat since ,0
1236,and water was and ,0
1237,act ,1
1238,and ,1
1239,me ,1
1240,and and since and men ,0
1241,and ,0
1242,,1
1243,,1
1244,me laughing ,1
1245,swim good god and ,1
1246,god ,1
1247,,1
1248,and ,1
1249,since since ,0
1250,less and and ,1
1251,,1
1252,and and and sunday ,0
1253,harm ,1
1254,since less hell water enter and and and and ,0
1255,,1
1256,laughing since laughing ,1
1257,,1
1258,doubt ,1
1259,god ,1
1260,ceiling ,0
1261,outside ,0
1262,and water and limit since water was and and and ,0
1263,since and after and and support water ,0
1264,laughing ,1
1265,else appear and since and ,0
1266,water harm was below ,1
1267,water and and since ,0
1268,god my god ,0
1269,and beside and since ,0
1270,breath ,1
1271,water and since billion ,0
1272,laughing ,1
1273,and me ,1
1274,,0
1275,age god god ,0
1276,,1
1277,of beside ,1
1278,,1
1279,,1
1280,and and ,1
1281,count and and and and cat and and and ,0
1282,since water and tunisia and and cat exist since cat since ,0
1283,,0
1284,spread and ,1
1285,and ,1
1286,full betray since since go out thousand was ,0
1287,,1
1288,,1
1289,beside role here ,0
1290,,1
1291,laughing breath my god ,1
1292,,1
1293,my god smoke my god god ,0
1294,exist and since water and ,1
1295,support ,1
1296,and and and and and and ,0
1297,,1
1298,judge and constant and ,0
1299,die god ,0
1300,breath ,0
1301,water and and ,0
1302,and reject ,1
1303,,1
1304,laughing follow ,1
1305,,1
1306,god god and ,0
1307,,0
1308,since and since and and since since and since and cat smoke water ,0
1309,laughing ,1
1310,,1
1311,and god me ,1
1312,and god ,1
1313,,0
1314,support ,1
1315,,1
1316,,1
1317,cat and ,0
1318,since since command water ,0
1319,bring my god of exceed since and water since ,0
1320,swim ,1
1321,,1
1322,water and beside water and ,0
1323,successive since ,1
1324,,1
1325,bite since month accept since and ,0
1326,water and and and since god since and ,0
1327,,1
1328,,1
1329,and harm ,0
1330,wire go out and since ,0
1331,and laughing ,1
1332,thanks ,1
1333,since accept swear ,1
1334,,1
1335,me my god mind me cat water ,1
1336,harm and and and dates and impose ,0
1337,since since since god ,0
1338,,1
1339,harm since ,0
1340,,1
1341,,0
1342,us beside ,0
1343,since kill ,0
1344,,1
1345,,1
1346,,1
1347,god ,0
1348,of and ,1
1349,beside less and spread and else ,0
1350,,1
1351,,1
1352,beside ,1
1353,us and exist ,0
1354,god god god god god ,1
1355,,0
1356,,1
1357,was and and and accept water and cat was and and and ,0
1358,us and ,0
1359,and and ,0
1360,beside water beside cat ,1
1361,laughing prince god ,1
1362,beside and water ,0
1363,god glass ,1
1364,laughing me these cat whole me more since soil this in order to ,0
1365,god ,1
1366,god ,0
1367,since ,0
1368,exist these ,1
1369,,1
1370,water and harm and harm less and and and ,0
1371,god beside ,1
1372,and ,0
1373,,0
1374,,1
1375,and since ,0
1376,since ,0
1377,laughing ,1
1378,water since pain more since was breath ,0
1379,god disease cat ,0
1380,bite lunch else ,1
1381,,1
1382,since and and and ,1
1383,accept and ,1
1384,,1
1385,water water water water ,0
1386,beside water water ,0
1387,,1
1388,,1
1389,,0
1390,water and ,0
1391,me ,1
1392,and that was ,0
1393,me whole since ,1
1394,since ,1
1395,and ,1
1396,harm and and proverb and and water water ,0
1397,and since and successive a lot water and and water ,0
1398,and god day ,1
1399,laughing ,1
1400,,1
1401,,1
1402,and and and and less water ,0
1403,after since hand since people this dissolve count meat ,0
1404,and cat and water exist and and exist and beside ,0
1405,,1
1406,impose cat ,0
1407,me since and shower ,1
1408,,1
1409,build beside and and and ,0
1410,after ,1
1411,beside since ,1
1412,,0
1413,water ,0
1414,laughing ,1
1415,accept ,0
1416,,0
1417,was interfere ,0
1418,cat since cat laughing me here laughing ,0
1419,since ,1
1420,,1
1421,since since and ,0
1422,god ,1
1423,and and since permit ,1
1424,laughing laughing since ,1
1425,and accept god since here ,1
1426,people people and people and ,1
1427,,0
1428,was and ,0
1429,god ,0
1430,of ,1
1431,god water dog ,1
1432,since this laughing ,0
1433,god ,1
1434,and since ,0
1435,beside ,0
1436,,1
1437,appear appear water ,0
1438,,1
1439,enter beside harm cat ,0
1440,,0
1441,harm laughing ,1
1442,god and god ,1
1443,,1
1444,proverb and and and since and and and cat and beside ,0
1445,since water god god ,0
1446,,1
1447,tuesday and after ,0
1448,laughing apparent lips since ,1
1449,,1
1450,,0
1451,and and and and ,0
1452,laughing ,1
1453,cat water beside ,0
1454,cat since and support and ,0
1455,,0
1456,,1
1457,and since this and and and and act water since ,0
1458,and and beside and ,0
1459,,1
1460,since ,0
1461,cat cat qanun and god smoke and and since cat men and and ,0
1462,,1
1463,donkey mule these hair god ,0
1464,,1
1465,salt ,1
1466,and god and beside and harm ,0
1467,,1
1468,,1
1469,god ,1
1470,thanks ,1
1471,and below below my god ,1
1472,water ,1
1473,since ,1
1474,and god and and still ,1
1475,,0
1476,since since cat and and and ,0
1477,since accept and and and day me since ,0
1478,of and me ,1
1479,,1
1480,water water ,0
1481,,1
1482,,1
1483,water cat water and bread and since and and ,0
1484,,1
1485,,1
1486,beside beside since beside ,0
1487,cold live and cat since since and since ,0
1488,,1
1489,since ,1
1490,,1
1491,laughing ,0
1492,,1
1493,and me and and ,0
1494,impose ,0
1495,,1
1496,limit god ,0
1497,and and and and ,0
1498,and and good ,1
1499,,1
1500,and ,1
1501,since less ,0
1502,since and and after water proverb was and and and and cat ,0
1503,,1
1504,,0
1505,and and day ,0
1506,was ,0
1507,and beside since and and water and ,0
1508,and cat and earth ,1
1509,,1
1510,coordination and and and coordination and since and after water cat ,0
1511,was and ,1
1512,,0
1513,,1
1514,me ,1
1515,since ,0
1516,god ,1
1517,laughing ,1
1518,,1
1519,water and me people ,1
1520,cat ,0
1521,since and ,0
1522,laughing ,1
1523,and and and and and and and and since tunisia and and germany ,0
1524,and ,0
1525,and cat and water ,0
1526,role ,0
1527,beside me since ,1
1528,blood since since since beside harm security ,0
1529,laughing ,1
1530,beside my brother ,1
1531,and god water ,0
1532,beside ,1
1533,and breath and ,0
1534,since and earth spread since and beside and and cat act ,0
1535,laughing ,1
1536,laughing ,1
1537,my god ,0
1538,support and and beside support and and ,0
1539,thanks ,1
1540,,1
1541,,1
1542,,0
1543,since and and and breath since and and and ,0
1544,god ,0
1545,and cat ,0
1546,outside qanun ,1
1547,me and accept since since water and ,0
1548,water ,1
1549,die ,1
1550,water and beside ,0
1551,and ,1
1552,,1
1553,outside since us ,0
1554,and ,1
1555,my god and god me my god and and ,1
1556,blind and me ,0
1557,since since god ,0
1558,,1
